Company,Country,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sum
Hyundai,Non-India,2022,35634.22542,33227.38299,26019.69155,10676.92206,1731.26854,16163.63018,22833.67552,25138.32697,27507.22397,34214.141,27058.85459,22670.84509,282876.1879
Kia,Non-India,2022,16357.76788,14461.7866,12805.02277,7175.989513,5763.440984,10843.25499,9460.338612,13389.64903,17691.62311,21027.83497,21381.20514,11896.33431,162254.2479
Honda,Non-India,2022,6940.688531,6747.463512,3610.113509,2605.683537,895.530575,785.639276,3548.577151,3642.015616,5568.436118,6279.53338,4106.677724,4504.761533,49235.12046
Toyota,Non-India,2022,12078.28917,15648.2271,14348.58506,8081.649589,4261.679204,9157.068613,10739.5237,10844.95132,11711.3458,14565.99269,11035.50281,9847.245403,132320.0605
Renault,Non-India,2022,3044.741577,4676.766905,2451.110582,1027.291257,3047.874316,313.94336,292.169943,1923.065876,3347.596343,5816.033074,5048.312827,5396.355145,36385.26121
Ford,Non-India,2022,1731.337486,3242.886834,3130.351228,585.583856,798.567979,1853.201496,2196.895136,2234.828765,2714.900672,4018.928763,2164.936714,280.002615,24952.42154
Nissan,Non-India,2022,4356.084673,4190.861006,4225.749519,3605.407264,2847.99949,3417.823721,3671.221708,3297.482108,3084.223455,3474.554145,3032.959962,3421.624522,42625.99157
MG,Non-India,2022,2004.169218,1575.225323,1923.947777,327.615183,60.744459,1180.38108,1851.953138,2107.600652,1937.395053,2489.36819,2348.717143,2148.574689,19955.69191
Volkswagen,Non-India,2022,2316.407387,2100.904549,1699.844682,1623.984466,2326.784794,2449.601255,2764.754277,2469.385196,3035.032519,3432.196936,3110.188118,3836.946086,31166.03027
Skoda,Non-India,2022,2609.264378,2445.632842,2195.029298,1789.72644,1829.955945,1797.873811,2548.073104,2808.772173,2734.320275,2955.318302,2573.123651,3230.718645,29517.80886
Jeep,Non-India,2022,942.8958,1175.533269,1076.577924,722.734805,571.24552,738.553794,740.353767,857.552559,927.782752,1165.799063,1013.278741,919.245856,10851.55385
